,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,director_count,actor_1_count,actor_2_count,actor_3_count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,genres_count,main_keyword,main_keyword_count
0,Color,723.0,178.0,0.0,855.0,1000.0,760505847.0,886204,4834,0.0,3054.0,English,USA,PG-13,237000000.0,2009.0,936.0,7.9,1.78,33000,7,4,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,avatar,3.0
1,Color,302.0,169.0,563.0,1000.0,40000.0,309404152.0,471220,48350,0.0,1238.0,English,USA,PG-13,300000000.0,2007.0,5000.0,7.1,2.35,0,7,40,7,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,goddess,1.0
2,Color,602.0,148.0,0.0,161.0,11000.0,200074175.0,275868,11700,1.0,994.0,English,UK,PG-13,245000000.0,2015.0,393.0,6.8,2.35,85000,8,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,bomb,9.0
3,Color,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,1144337,106759,0.0,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,2.35,164000,8,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,deception,2.0
4,Color,110.0,103.0,131.0,371.5,131.0,25517500.0,8,143,0.0,156.0,English,USA,R,20000000.0,2009.0,12.0,7.1,2.35,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,No keywords,0.0
5,Color,462.0,132.0,475.0,530.0,640.0,73058679.0,212204,1873,1.0,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,2.35,24000,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,alien,79.0
6,Color,392.0,156.0,0.0,4000.0,24000.0,336530303.0,383056,46055,0.0,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0,13,31,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,sandman,2.0
7,Color,324.0,100.0,15.0,284.0,799.0,200807262.0,294810,2036,1.0,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,1.85,29000,1,2,1,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.0,17th century,5.0
8,Color,635.0,141.0,0.0,19000.0,26000.0,458991599.0,462669,92000,4.0,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,2.35,118000,3,14,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,artificial intelligence,6.0
9,Color,375.0,153.0,282.0,10000.0,25000.0,301956980.0,321795,58753,3.0,973.0,English,UK,PG,250000000.0,2009.0,11000.0,7.5,2.35,10000,3,8,3,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,blood,22.0
10,Color,673.0,183.0,0.0,2000.0,15000.0,330249062.0,371639,24450,0.0,3018.0,English,USA,PG-13,250000000.0,2016.0,4000.0,6.9,2.35,197000,8,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,based on comic book,8.0
11,Color,434.0,169.0,0.0,903.0,18000.0,200069408.0,240396,29991,0.0,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,2.35,0,8,22,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,crystal,1.0
12,Color,403.0,106.0,395.0,393.0,451.0,168368427.0,330784,2023,1.0,1243.0,English,UK,PG-13,200000000.0,2008.0,412.0,6.7,2.35,0,8,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,action hero,6.0
13,Color,313.0,151.0,563.0,1000.0,40000.0,423032628.0,522040,48486,2.0,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,2.35,5000,7,40,7,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,box office hit,12.0
14,Color,450.0,150.0,563.0,1000.0,40000.0,89289910.0,181792,45757,1.0,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,2.35,48000,7,40,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,horse,4.0
15,Color,733.0,143.0,0.0,748.0,15000.0,291021565.0,548573,20495,0.0,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,2.35,118000,8,7,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,based on comic book,8.0
16,Color,258.0,150.0,80.0,201.0,22000.0,141614023.0,149922,22697,4.0,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,2.35,0,5,12,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,brother brother relationship,3.0
17,Color,703.0,173.0,0.0,19000.0,26000.0,623279547.0,995415,87697,3.0,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,1.85,123000,3,14,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,alien invasion,3.0
18,Color,448.0,136.0,252.0,1000.0,40000.0,241063875.0,370704,54083,4.0,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,2.35,58000,5,40,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,blackbeard,1.0
19,Color,451.0,106.0,188.0,718.0,10000.0,179020854.0,268154,12572,1.0,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,1.85,40000,7,19,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,alien,79.0
20,Color,422.0,164.0,0.0,773.0,5000.0,255108370.0,354228,9152,0.0,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,2.35,65000,12,4,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,army,22.0
21,Color,599.0,153.0,464.0,963.0,15000.0,262030663.0,451803,28489,0.0,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,2.35,56000,3,12,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,lizard,1.0
22,Color,343.0,156.0,0.0,738.0,891.0,105219735.0,211765,3244,0.0,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,2.35,17000,17,3,7,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1190s,1.0
23,Color,509.0,186.0,0.0,773.0,5000.0,258355354.0,483540,9152,6.0,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,2.35,83000,12,4,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,dwarf,2.0
24,Color,251.0,113.0,129.0,1000.0,16000.0,70083519.0,149019,24106,2.0,666.0,English,USA,PG-13,180000000.0,2007.0,6000.0,6.1,2.35,0,5,9,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,children,9.0
25,Color,446.0,201.0,0.0,84.0,6000.0,218051260.0,316018,7123,0.0,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,919.0,7.2,2.35,0,12,16,9,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,animal name in title,3.0
26,Color,315.0,194.0,0.0,794.0,29000.0,658672302.0,793059,45223,0.0,2528.0,English,USA,PG-13,200000000.0,1997.0,14000.0,7.7,2.35,26000,7,21,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,artist,10.0
27,Color,516.0,147.0,94.0,11000.0,21000.0,407197282.0,272670,64798,0.0,1022.0,English,USA,PG-13,250000000.0,2016.0,19000.0,8.2,2.35,72000,4,26,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,based on comic book,8.0
28,Color,377.0,131.0,532.0,627.0,14000.0,65173160.0,202382,26679,0.0,751.0,English,USA,PG-13,209000000.0,2012.0,10000.0,5.9,2.35,44000,6,29,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,box office flop,29.0
29,Color,644.0,124.0,365.0,1000.0,3000.0,652177271.0,418214,8458,0.0,1290.0,English,USA,PG-13,150000000.0,2015.0,2000.0,7.0,2.0,150000,2,6,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,dinosaur,3.0
30,Color,750.0,143.0,0.0,393.0,883.0,304360277.0,522030,2039,0.0,1498.0,English,UK,PG-13,200000000.0,2012.0,563.0,7.8,2.35,80000,8,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,brawl,2.0
31,Color,300.0,135.0,0.0,4000.0,24000.0,373377893.0,411164,43388,1.0,1303.0,English,USA,PG-13,200000000.0,2004.0,11000.0,7.3,2.35,0,13,31,11,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,death,50.0
